Sample Number,Group,2-Oxoisocaproate,3-Hydroxybutyrate,3-Methyl-2-oxovalerate,Acetate,Acetone,Alanine,Allantoin,Arginine,Asparagine,Aspartate,Betaine,Carnitine,Choline,Creatine,Creatine phosphate,Creatinine,Cysteine,Dimethyl sulfone,Dimethylamine,Formate,Fructose,Glucose,Glutamate,Glutamine,Glycerol,Glycine,Hippurate,Histidine,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malonate,Methionine,O-Acetylcarnitine,Phenylalanine,Proline,Propionate,Pyruvate,Sarcosine,Serine,Succinate,Threonine,Thymine,Trimethylamine N-oxide,Tryptophan,Tyrosine,Urea,Valine
BHS1567,Early_SM,-0.943590995,0.023556064,-0.89075693,0.388990242,-1.857457874,-0.020759165,1.060186859,-0.383360457,0.205945211,-0.208794636,-0.609432301,1.105614599,-0.627473481,-2.014766505,2.240102881,-1.152481885,0.363435951,0.437212066,0.346494744,-1.800643791,-0.198323924,-0.129199775,-0.655412075,-0.790903991,-0.839377895,-1.064403142,1.084652691,-1.192678528,-0.066855305,-0.25480167,0.372591824,-0.125944404,0.178978129,-0.594865889,0.306683921,0.921464245,-1.304826744,-0.82318971,0.805775431,-0.054678751,-0.207928877,-0.7681221,0.394532165,0.070778709,-2.778698271,1.983316848,0.184647619,-0.403108731,-0.826167992,-0.054487039
BHS1568,Early_SM,-0.673269623,0.547909776,0.048147934,0.713084597,0.003199837,-1.152991583,-1.045447888,-0.948913769,0.302772127,-0.392316988,-0.225350496,0.404389237,-0.458096767,-0.290519241,-0.481251765,-0.438763321,-1.713265431,0.328291184,0.047291845,0.548221608,-1.657692401,-0.395304889,-0.701067734,-0.790903991,-1.050764289,-1.049542831,0.361770149,-0.00855841,-1.551552928,-1.165755985,-1.848660983,-0.807691218,-1.431405277,-0.496298788,-0.309080863,0.255888968,-1.283929619,0.020991368,1.688931808,-0.47898201,-0.688553519,-0.868969415,-0.875189748,-0.649950746,-2.397217791,1.097909451,-0.450612505,-1.697773957,-0.943034472,-1.027271738
BHS1569,Early_SM,-0.975662524,0.517199302,-1.125557558,0.50566141,0.420644759,0.611736337,1.194797183,-1.777302443,0.165953211,-0.392316988,0.576828508,0.562258134,0.545790095,0.279665593,-0.430787453,0.038981365,0.382368511,0.315676596,0.749147733,-0.580586841,0.303874957,0.86626986,-0.178859325,-0.40764038,-0.047857229,-0.378254955,1.563465249,-0.622120106,0.428482957,0.349059775,0.571600379,0.500808163,0.417037937,-0.809969218,0.16319372,0.906582032,-0.102907313,0.241557081,0.466620093,0.650695354,-0.393026746,-0.752268801,0.296089641,0.324277162,-1.435892595,2.324819317,-0.112721401,0.216379276,-0.420823501,0.818718353
BHS1570,Early_SM,-1.231430997,1.077316798,-0.997344272,0.351157365,0.539397198,-0.442491696,1.535190614,-0.483009331,0.95813122,0.305586979,1.785991142,0.65281558,1.1339881,1.344592275,0.18045533,-0.769337099,-0.308447564,1.551088053,0.889571879,-0.901678096,1.286876429,1.574034303,-0.647887169,-0.944222233,0.023624827,-0.110096425,1.416095922,-1.073049621,0.513303789,0.156132683,0.445743464,0.762618982,0.394860668,-0.809969218,-0.078789908,0.393545604,-0.889449482,0.150649041,0.556833335,0.702169484,-0.237037293,-0.800610586,-2.146237757,0.887863796,-0.713784456,2.156714364,-0.512561774,-0.288065027,-0.174701011,0.294800181
BHS1574,Early_SM,0.917036395,0.48784716,0.950667202,0.59194418,0.337705141,0.201574793,1.203805591,-1.251761877,0.594372455,-1.277160521,-0.181901868,0.427502885,-0.184673128,0.568721533,1.224812766,-0.976796128,-1.377266954,0.027417413,-0.484315573,0.577599142,-0.929104513,0.226571465,-0.977745172,-0.747019834,0.214578605,1.387875005,-0.22655824,-1.297724255,-0.083151943,1.069823347,-0.286404426,0.885672277,1.295327015,-1.137819758,1.376863341,0.449902689,0.158251717,-0.245522873,-0.666454649,-0.030614003,-0.360324353,-0.706176303,-1.825007457,0.967726356,0.000268184,-0.7190379,1.042572711,0.178840398,-0.319018797,1.703142997
BHS1575,Early_SM,-0.368111977,-1.043766057,0.008299719,-0.367074924,-0.710563916,-0.710934321,-0.44033812,-0.667423361,-2.644367666,-1.383160803,0.002568784,-0.010632612,-0.357297848,-0.933587997,-0.515709975,-0.62885664,0.079926715,-0.512253094,-0.52979952,0.193395173,-0.195696209,0.733786295,-2.009027097,-0.98105683,0.702266818,-0.372974686,-0.445081055,-0.236237792,0.248473479,-1.440360364,-0.552533602,-1.176218973,-1.577178956,-1.010193169,-0.736619312,-0.003202283,-2.231003308,-0.746430027,0.737690677,0.772274557,-1.450554069,-0.817263247,-0.922259836,-0.098301045,-2.397217791,-1.627573689,-2.711527716,-0.21784707,-1.10203367,-2.077265507
BHS1579,Early_SM,0.792116836,0.34229447,1.461936975,0.448695919,0.420644759,0.776531847,1.769971796,-0.316434751,0.635282108,0.042449491,-1.610118466,1.239121943,-0.584141833,1.698491287,0.714308835,0.797893709,-0.373688674,-0.67661262,-0.623086966,0.4574446,-0.396435125,0.149300604,0.111234892,-0.373439201,0.565281532,-0.051668067,0.567158529,-0.282676759,-0.019558755,0.915121864,-0.839574549,0.509544641,-0.063582987,-1.17891719,0.960845209,1.616570146,1.291151673,0.823271111,0.344449579,-0.147585729,-1.606543521,-0.834200583,-0.922259836,1.234660098,-0.624145888,-1.14343182,1.538301801,0.745462966,-0.338619884,0.673190684
BHS1580,Early_SM,1.513273259,-0.050455823,1.685151947,0.333540606,0.827553258,1.027927976,1.61055349,-0.444175232,-0.306424507,-0.670205121,0.157201675,1.183694107,-0.478707371,1.043785235,1.855135906,-0.689909387,-0.400330458,-0.504865633,1.555136435,0.843706932,-0.256222228,0.096100022,-0.647887169,-1.154700464,0.658348177,1.259953458,0.212012324,-1.506909014,-1.955544445,1.588487397,0.51093989,1.301318308,1.682351789,-0.841102336,1.439844762,0.45915113,0.335813888,-0.118291157,-0.107794244,0.470937756,-0.124256027,-0.606297995,-0.741651168,0.285811749,-0.497390378,-0.11032983,1.389607957,0.228812449,-0.108484039,1.69923624
BHS1717,Early_SM,1.535312751,0.899213255,1.073845598,0.064811172,0.434164984,0.871461614,0.914982138,0.125103671,0.104527661,-0.984801346,-0.08749971,0.005508558,0.276406375,0.745941927,2.811226683,-0.829438723,0.079926715,-0.181904726,-1.446518462,-0.82742018,-0.573188956,-0.842269514,-0.488083724,-1.095141265,0.194163987,0.233126587,1.658815027,-0.903330054,0.374309962,0.526802946,-0.369735709,1.856663207,0.37997808,-4.151659296,1.325075553,0.575836609,1.743140478,0.125039452,-0.511824344,0.394795668,-0.266799886,-0.479096647,-0.970735207,-0.198790786,-1.242321495,-0.367057911,1.104354543,0.635172773,-0.771593845,0.520752386
BHS1714,Early_SM,1.286675081,-1.244850269,0.629443299,-1.072308996,-0.926542059,3.558914681,2.610516966,-0.742892892,-1.069534006,2.90749052,0.036177311,1.010394657,0.164084543,0.682166807,1.211716455,0.846525229,-1.067261902,0.150510226,-0.028102354,-1.026456832,-0.719360467,-0.494815341,1.328925078,-0.837204979,1.088832276,2.427768164,-0.368719541,-1.006577919,-4.648817702,2.007572581,0.393354309,2.484163113,1.567331915,0.056136103,2.285532269,0.513807593,2.410195696,1.364008027,-1.127937683,0.95662204,-1.311016749,-0.304437404,-0.579135214,-2.222287603,-0.538678097,-0.498143095,1.878143077,2.161777956,0.4419908,2.223445898
